"player","rating"
"1uke",1.32
"deko",1.31
"ZywOo",1.28
"s1mple",1.28
"sh1ro",1.23
"NiKo",1.2
"device",1.19
"h4rn",1.18
"FASHR",1.17
"Ax1Le",1.16
"XANTARES",1.15
"Jame",1.15
"oskar",1.14
"KSCERATO",1.14
"blameF",1.14
"electronic",1.14
"coldzera",1.14
"El1an",1.14
"woxic",1.13
"Spinx",1.13
"ropz",1.13
"smike",1.13
"SENSEi",1.12
"EliGE",1.12
"maNkz",1.12
"fer",1.12
"huNter-",1.12
"Magisk",1.12
"NAF",1.11
"HEN1",1.11
"YEKINDAR",1.11
"xsepower",1.11
"dupreeh",1.11
"swag",1.11
"fnx",1.11
"Twistzz",1.11
"ScreaM",1.11
"flameZ",1.11
"yuurih",1.11
"tabseN",1.1
"frozen",1.1
"mantuu",1.1
"Calyx",1.1
"Brehze",1.1
"birdfromsky",1.1
"dream3r",1.1
"NEOFRAG",1.1
"k0nfig",1.1
"Ethan",1.1
"valde",1.1
"Hobbit",1.1
"kennyS",1.1
"autimatic",1.1
"nukkye",1.09
"MINISE",1.09
"WolfY",1.09
"degster",1.09
"mir",1.09
"Devilwalk",1.09
"syrsoN",1.09
"paz",1.09
"rain",1.08
"B1T",1.08
"stavn",1.08
"emilio",1.08
"Nivera",1.08
"FalleN",1.08
"roeJ",1.08
"CeRq",1.08
"mixwell",1.08
"f0rest",1.08
"Kjaerbye",1.08
"dycha",1.08
"GuardiaN",1.08
"Brollan",1.08
"floppy",1.07
"boltz",1.07
"HS",1.07
"Xyp9x",1.07
"draken",1.07
"nex",1.07
"mertz",1.07
"sergej",1.07
"oskarish",1.07
"flusha",1.07
"shox",1.07
"Rickeh",1.07
"broky",1.07
"suNny",1.07
"FL1T",1.06
"dennyslaw",1.06
"acoR",1.06
"mezii",1.06
"ottoNd",1.06
"felps",1.06
"allu",1.06
"SunPayus",1.06
"cajunb",1.06
"Maden",1.06
"dennis",1.06
"REZ",1.05
"zorte",1.05
"KRIMZ",1.05
"mou",1.05
"roca",1.05
"oSee",1.05
"nexa",1.05
"nawwk",1.05
"INS",1.05
"AnJ",1.05
"SHOCK",1.05
"nicoodoz",1.05
"hades",1.05
"WorldEdit",1.05
"sjuush",1.05
"JUGi",1.05
"smooya",1.05
"ISSAA",1.05
"iDISBALANCE",1.05
"jks",1.05
"Qikert",1.05
"Stewie2K",1.05
"Farlig",1.05
"mopoz",1.05
"GruBy",1.05
"Bubzkji",1.05
"zhokiNg",1.05
"Console",1.05
"cromen",1.05
"oBo",1.04
"Maniac",1.04
"poizon",1.04
"Savage",1.04
"znajder",1.04
"Lekr0",1.04
"flamie",1.04
"faveN",1.04
"JW",1.04
"zehN",1.04
"GeT_RiGhT",1.04
"BnTeT",1.04
"jabbi",1.04
"LUCAS1",1.04
"cadiaN",1.04
"shroud",1.04
"LOVEYY",1.04
"DavCost",1.04
"ShahZaM",1.04
"loWel",1.04
"aizy",1.03
"gla1ve",1.03
"TeSeS",1.03
"twist",1.03
"Snax",1.03
"jkaem",1.03
"iDk",1.03
"queztone",1.03
"apEX",1.03
"SHiPZ",1.03
"FaNg",1.03
"olofmeister",1.03
"hampus",1.03
"Sonic",1.03
"nafany",1.03
"buster",1.03
"alex",1.03
"tarik",1.03
"MICHU",1.03
"byali",1.03
"es3tag",1.03
"innocent",1.03
"NBK-",1.02
"Sico",1.02
"niko",1.02
"bondik",1.02
"SicK",1.02
"mirbit",1.02
"Skadoodle",1.02
"arT",1.02
"Daffu",1.02
"kioShiMa",1.02
"EspiranTo",1.02
"ryx",1.02
"kreaz",1.02
"sdy",1.02
"Plopski",1.02
"wrath",1.02
"Zero",1.02
"Happy",1.02
"disco doplan",1.02
"Forester",1.01
"ANGE1",1.01
"nitr0",1.01
"AmaNEk",1.01
"koosta",1.01
"n0thing",1.01
"tb",1.01
"Krad",1.01
"TenZ",1.01
"KENSI",1
"Perfecto",1
"REDSTAR",1
"Xeppaa",1
"kalle",1
"Edward",1
"Bymas",1
"Furlan",1
"Aerial",1
"TENZKI",1
"chrisJ",1
"pashaBiceps",1
"hAdji",1
"Gratisfaction",1
"kNgV-",1
"Jerry",1
"fox",1
"facecrack",1
"MAJ3R",1
"refrezh",1
"bodyy",1
"Summer",1
"fejtZ",1
"STYKO",1
"RpK",1
"v1c7oR",0.99
"Hiko",0.99
"pyth",0.99
"magixx",0.99
"RUSH",0.99
"AdreN",0.99
"Boombl4",0.99
"misutaaa",0.99
"mouz",0.99
"leaf",0.99
"rallen",0.99
"dexter",0.99
"SEMPHIS",0.99
"Maikelele",0.99
"Aleksib",0.99
"jdm64",0.99
"motm",0.99
"MODDII",0.99
"snatchie",0.99
"devoduvek",0.99
"Kvik",0.99
"Liazz",0.99
"DD",0.98
"RUBINO",0.98
"kUcheR",0.98
"freddieb",0.98
"ANDROID",0.98
"ptr",0.98
