"player","mapsPlayed","impact","rating"
"s1mple",1100,0.0179962253371739,1.28
"ZywOo",649,0.0179936915097337,1.28
"sh1ro",325,0.0155315850763983,1.23
"device",1198,0.0133705460530336,1.19
"Magisk",1193,0.0125436884084075,1.12
"NiKo",1241,0.00897624372832238,1.2
"B1T",158,0.00831077987873424,1.08
"Qikert",692,0.00768500442669478,1.05
"El1an",339,0.00765111082198017,1.14
"syrsoN",628,0.00709020595336418,1.09
"NAF",1243,0.00671982228593405,1.11
"XANTARES",972,0.00619299084746474,1.15
"Xyp9x",1117,0.00618839495993836,1.07
"Ax1Le",328,0.0060040326748864,1.16
"fANTASTIKA",14,0.00508664167808137,NA
"kennyS",1100,0.00507109471832023,1.1
"HEN1",711,0.00490559650852591,1.11
"autimatic",813,0.00480908150589632,1.1
"dreaM",14,0.00475772741410881,NA
"DickStacy",144,0.00463622704515153,0.86
"Summer",281,0.00460261862535703,1
"yuurih",602,0.00440141094807318,1.11
"FalleN",1222,0.0043915077941756,1.08
"magixx",379,0.00402473256907154,0.99
"flusha",941,0.00373371926802762,1.07
"flameZ",119,0.00372731820595385,1.11
"drop",32,0.00351942050542724,0.92
"ropz",1009,0.00349479973439052,1.13
"sjuush",401,0.00345263005789507,1.05
"CeRq",755,0.00322944277540643,1.08
"tarik",1139,0.00303770397704385,1.03
"n0thing",435,0.00286235073899691,1.01
"EliGE",1265,0.00284107125618536,1.12
"gla1ve",1127,0.00252771816209874,1.03
"TeSeS",395,0.00231459522039523,1.03
"FaNg",81,0.0022551229537265,1.03
"f0rest",885,0.00223833771927167,1.08
"Ethan",848,0.00214310433724398,1.1
"pecks",12,0.00214271796285223,0.7
"Amazing",7,0.00210667482432498,NA
"KSCERATO",602,0.00205603064058831,1.14
"ottoNd",315,0.00199206142065319,1.06
"oSee",231,0.00175418534493578,1.05
"zorte",199,0.00117744019488375,1.05
"fer",1082,0.00115469767458361,1.12
"jemi",89,0.00114852701211129,0.78
"leaf",75,0.0011347208830057,0.99
"NeiL_M",2,0.00102219011677449,NA
"blameF",497,0.00101456975922341,1.14
"woxic",664,0.00101201424289638,1.13
"roeJ",302,0.000982664796784557,1.08
"Sico",162,0.000916100099424163,1.02
"hybrid",1,0.000897335056475816,NA
"WOOD7",7,0.000837980052635665,NA
"Danceyz",2,0.000704713229031478,NA
"shaiK",1,0.000703532947320681,NA
"KrowNii",2,0.000698379655117793,NA
"markeloff",352,0.000681367459636513,0.96
"jeyN",12,0.000639732331684335,NA
"ableJ",174,0.000623707725896906,0.94
"Leomonster",1,0.000594927300391194,NA
"powerYY",2,0.000570619111955151,NA
"nrkkk",2,0.000557278141955255,NA
"eDi",1,0.000549386857021449,NA
"DD",364,0.000534701886051867,0.98
"hemzk9",1,0.000529674939059322,NA
"DeathZz",63,0.000527051458703401,0.96
"Sm1llee",1,0.000522873197827571,NA
"dav1g",54,0.000512743366599811,0.86
"Samppa",1,0.000512669384339382,NA
"dream3r",217,0.000507810826593195,1.1
"SunPayus",54,0.0004912463313439,1.06
"mezii",131,0.000487518917410018,1.06
"Ravenlot",9,0.000452861417597703,NA
"shox",1139,0.000437191204315386,1.07
"oopee",1,0.000432140430366812,NA
"konshi",2,0.000425636298522918,NA
"pred",1,0.000423803161369741,NA
"obj",4,0.00036526508576064,NA
"YNk",8,0.000361827471205934,0.71
"SHOCK",99,0.000356700029081826,1.05
"gulito",8,0.000332175410306045,NA
"mithR",1,0.000317597680565565,NA
"NickelBack",330,0.000317424103314018,0.96
"NEOFRAG",99,0.00030756495919236,1.1
"tyfoon",2,0.000296864322722914,NA
"coldzera",1172,0.00029631817147931,1.14
"L1NK",1,0.000282908751041511,NA
"desh",1,0.000274720836423452,NA
"frozt",1,0.000268401922122091,NA
"813",2,0.000248423598462504,NA
"moonsh1n3",4,0.000242531908953157,NA
"deb0",4,0.000238820633905771,NA
"Eley",7,0.000235743599061421,NA
"Fifflaren",1,0.000235188035553777,NA
"Adlane",1,0.000229603308137474,NA
"kalle",53,0.000224863898959323,1
"REFLEX",2,0.000221765784992029,NA
"btt",1,0.000204661450173675,NA
"ave",1,0.000203958822375682,0.94
"TORAS",5,0.000197279557890456,NA
"Delaney",1,0.000191339103471588,NA
"kero",1,0.000187765516358769,NA
"day0s",1,0.000170246978348569,NA
"pounh",35,0.000168070350531742,NA
"k0RsAr",6,0.000164207386720936,NA
"deco",3,0.00015282903722773,NA
"Snodz",1,0.000151952515197684,NA
"ZER",1,0.000149139729125125,NA
"mat1",3,0.00013791784471909,NA
"keep3r",1,0.000130529029262223,NA
"BAS",3,0.000126674682481968,NA
"Asuna",2,0.000118496661856789,NA
"boltz",665,9.77511278582211e-05,1.07
"kRaSnaL",2,7.0539021268102e-05,NA
"Uzzziii",1,4.97253458635855e-05,NA
"J0hnnyP",1,4.3576215060669e-05,NA
"smooya",262,4.20901191399096e-05,1.05
"Monu",2,4.19989747697601e-05,NA
"tomsku",3,3.98855800910239e-05,NA
"Straka",4,3.6456645930305e-05,NA
"tappa",2,2.51414870852475e-05,NA
"montE",1,2.22935421213402e-05,NA
"tsack",13,2.07348208979494e-05,NA
"Kray",1,3.94255615139264e-06,NA
"Spanisfury",1,-1.11730337831966e-05,NA
"Irukandji",9,-1.12211268681827e-05,0.97
"plum",1,-1.12491294617647e-05,NA
"DEv",1,-1.34895872969979e-05,NA
"SADZED",2,-2.34803560332441e-05,NA
"viz",2,-2.42651483428967e-05,NA
"CHRiSOAOW",2,-3.27594669908223e-05,NA
"gAuLeS",1,-4.42067615995877e-05,NA
"Ayrez",1,-4.89461700232732e-05,NA
"sense",1,-5.14625923965966e-05,NA
"insomnia",0,-5.53919283711358e-05,NA
"destroj",1,-5.56567082685348e-05,NA
"phise",1,-5.77371015004186e-05,NA
"Prize",2,-5.78357327371894e-05,NA
"KQLY",1,-5.78740429971995e-05,NA
"fr0k",0,-6.73427209540338e-05,NA
"hardstyle",1,-6.92246829024593e-05,NA
"fel1x",2,-6.93357353667056e-05,NA
"Pizituh",1,-7.02327881602415e-05,NA
"BASE",1,-7.05681592021271e-05,NA
"insanity",1,-7.48656136943462e-05,NA
"witz",3,-7.95049666293937e-05,NA
"mantuu",358,-7.98719632575474e-05,1.1
"Peppzor",2,-8.24028456495971e-05,NA
"KTWO",2,-8.51816729595495e-05,NA
"InJect",1,-8.75562297018093e-05,NA
"Neffo",1,-9.99052617353261e-05,NA
"KIKOOOO",1,-0.000112399574995271,NA
"cogu",4,-0.000113717341136274,0.87
"dezon",9,-0.000114201549638714,NA
"toM",1,-0.000115356807545167,NA
"VladY",1,-0.00011721863541157,NA
"willyKS",1,-0.00012358746707687,NA
"f4rm3r",1,-0.000130177328485662,NA
"Kwong",1,-0.000137548674334558,NA
"LK",1,-0.000138582016331603,NA
"minse",1,-0.000141431490227187,NA
"Coffee",2,-0.000148059016966516,NA
"oliff",1,-0.000161969074737088,NA
"stunna",1,-0.000162035784242105,NA
"sLip",1,-0.00016433075435364,NA
"sickLy",1,-0.000167047516611074,NA
"Dahl",1,-0.00017331880856834,NA
"maNkz",59,-0.00017578724569435,1.12
"Zitte",2,-0.000176272605248177,NA
"NiSMO",1,-0.00017704760993332,NA
"Aerial",520,-0.000177143463288646,1
"Mr.mao",1,-0.000181041683455076,NA
"Laes",1,-0.000182064808846407,NA
"kakafu",1,-0.000182783400877321,NA
"theryan",1,-0.000183870336322303,NA
"Tactus",1,-0.000193523847442185,NA
"Annihilation",5,-0.00019402539276171,NA
"color",2,-0.000194797005983509,NA
"d3k1",1,-0.000200013714418102,NA
"d4v41",1,-0.000203376386358386,NA
"Dark",2,-0.000205265439930625,NA
"zEptonL",3,-0.000206140176868818,NA
"maLeK",2,-0.000210120253725608,0.65
"redla1N",2,-0.00021070365560652,NA
"redhide",1,-0.00021242269905646,NA
"1mpact",1,-0.000215775218150986,NA
"CHEHOL",1,-0.000217069257354782,NA
"markostm",1,-0.000217399329243748,NA
"Not7",2,-0.00022022740714148,NA
"Enzo",3,-0.000222976612740706,NA
"Zyppe",3,-0.000224324000211528,NA
"Kingfisher",1,-0.000226750730443942,NA
"Killkapi",1,-0.000228336407109008,NA
"Katalic",2,-0.000229311744352525,NA
"Falcon",1,-0.000229324405916623,NA
"s0m",119,-0.000229923040776081,0.97
"IDZUO",2,-0.000230021322933307,NA
"jOELZ",5,-0.0002310195170017,NA
"Eeyore",1,-0.000232880495212159,NA
"quiNz",1,-0.00023331334327677,NA
"wASH1K",2,-0.000233428658389122,NA
"rjy",1,-0.000236328834970144,NA
"Badshah",3,-0.000239663151338484,NA
"moses",1,-0.000241511430888005,NA
"neon",1,-0.000246167533679954,NA
"ed101",3,-0.000250140874998485,NA
"AKim",0,-0.000253220244064049,NA
"qbaby",1,-0.000258913103791678,NA
"YDNA",1,-0.000259649348134662,NA
"xfl0ud",11,-0.000261233573181179,NA
"Maccen",1,-0.000263391374954492,NA
"qz",2,-0.00026703603692369,NA
"c0llins",2,-0.000267781021457314,NA
"troller",1,-0.000268149859031911,NA
"toby1",1,-0.000268333372298539,NA
"Krav",2,-0.000269277427584378,NA
"n2g",0,-0.000271125856039432,NA
"fnyekes",2,-0.000271975298559997,NA
"barney",2,-0.000272156719372001,NA
"bondik",575,-0.000272663044239782,1.02
"huckLeberry",2,-0.000273393280938961,NA
"Rub3nix",1,-0.000273595064195332,NA
"snedker",8,-0.000274191801108616,NA
"Remoy",4,-0.000275870876802257,NA
"mAThx",1,-0.00027738066919636,NA
"TONI",2,-0.000278796875340463,NA
"neph",1,-0.000283180129602522,NA
"pz",1,-0.000283202275054061,NA
"Ange",1,-0.000283209426339356,NA
"jtr",1,-0.000285329218159761,NA
"kuben",3,-0.000287764128498806,0.39
