"player","mapsPlayed","impact","rating"
"ZywOo",643,0.0157962071554672,1.28
"s1mple",1097,0.0149094009186345,1.28
"sh1ro",325,0.0145491494845315,1.23
"Magisk",1193,0.0145247560197146,1.12
"device",1198,0.0121601453368456,1.19
"NiKo",1241,0.00829686184327685,1.2
"syrsoN",628,0.00817678078352134,1.09
"El1an",336,0.00792210148929803,1.14
"Ax1Le",328,0.00787937001526866,1.16
"B1T",155,0.00764917214438932,1.08
"autimatic",813,0.00653657478567417,1.1
"HEN1",711,0.00639907755866945,1.11
"KSCERATO",602,0.00592522451787053,1.14
"NAF",1243,0.00546106589446907,1.11
"yuurih",602,0.0051128851800844,1.11
"TuGuX",46,0.00491067098925471,0.85
"gla1ve",1124,0.00482165832964543,1.03
"Qikert",692,0.00474441118051017,1.05
"XANTARES",972,0.00471958728602216,1.15
"n0thing",435,0.00469193067852031,1.01
"tarik",1139,0.00468247432881508,1.03
"shox",1133,0.00433288245703215,1.07
"fANTASTIKA",14,0.00420344908087869,NA
"Xyp9x",1114,0.004160032352383,1.07
"DickStacy",144,0.00403291994702844,0.86
"dreaM",14,0.00390664101704511,NA
"Summer",281,0.00379604152067804,1
"bondik",575,0.00355961932171412,1.02
"FalleN",1222,0.00339829947924787,1.08
"nafany",326,0.00331054958253353,1.03
"drop",32,0.00321867420663492,0.92
"olofmeister",926,0.00305614301022807,1.03
"mixwell",487,0.00280839668013534,1.08
"innocent",245,0.00275790938695793,1.03
"jemi",89,0.00255705014960162,0.78
"boltz",665,0.00246625552897644,1.07
"ottoNd",315,0.00244930611910045,1.06
"flameZ",119,0.00226617653101878,1.11
"ableJ",174,0.00222955036062913,0.94
"dream3r",217,0.0020675470147286,1.1
"kennyS",1100,0.00194958198807408,1.1
"SHOCK",99,0.00181041547169625,1.05
"EliGE",1265,0.0017887494875853,1.12
"markeloff",352,0.00178036666501644,0.96
"DD",364,0.0017552227042514,0.98
"sjuush",401,0.00150573293426296,1.05
"Amazing",7,0.00137194523545147,NA
"leaf",75,0.00136805647040325,0.99
"CeRq",755,0.00131970507962087,1.08
"pecks",12,0.00122023916055435,0.7
"suNny",739,0.00114528061585052,1.07
"hybrid",1,0.00114066508940785,NA
"NeiL_M",2,0.00104406180864958,NA
"Stewie2K",1332,0.000925026533458297,1.05
"dexter",309,0.000904384951793248,0.99
"shaiK",1,0.000782257437051301,NA
"kalle",53,0.000682010802954904,1
